edad,ypchtotcor,educc,pobreza
30,360103.0,4,3.0
60,360103.0,1,3.0
53,228382.0,4,3.0
55,228382.0,4,3.0
21,228382.0,5,3.0
65,457250.0,1,3.0
59,457250.0,1,3.0
52,248634.0,2,3.0
50,248634.0,5,3.0
21,248634.0,6,3.0
18,248634.0,4,3.0
65,404778.0,2,2.0
46,272833.0,4,3.0
41,272833.0,6,3.0
21,272833.0,5,3.0
59,838056.0,4,3.0
19,838056.0,5,3.0
62,838056.0,4,3.0
43,1152917.0,4,3.0
42,1152917.0,6,3.0
59,500000.0,6,3.0
22,500000.0,5,3.0
52,501870.0,4,3.0
32,744238.0,6,3.0
27,744238.0,4,3.0
38,790000.0,4,3.0
32,790000.0,4,3.0
36,410583.0,6,3.0
38,410583.0,5,3.0
38,477488.0,6,3.0
49,477488.0,6,3.0
56,432193.0,4,3.0
33,432193.0,6,3.0
30,432193.0,6,3.0
53,800000.0,6,3.0
48,800000.0,6,3.0
44,314959.0,6,3.0
38,405407.0,6,3.0
63,565500.0,4,3.0
57,565500.0,4,3.0
26,976667.0,5,3.0
54,976667.0,6,3.0
53,304742.0,4,3.0
18,304742.0,4,3.0
24,304742.0,6,3.0
50,448333.0,5,3.0
46,448333.0,6,3.0
20,448333.0,4,3.0
56,854824.0,6,3.0
59,854824.0,4,3.0
29,854824.0,6,3.0
55,651703.0,3,3.0
57,651703.0,2,3.0
28,651703.0,6,3.0
52,482167.0,4,3.0
26,482167.0,6,3.0
25,482167.0,6,3.0
52,482167.0,4,3.0
75,310000.0,4,1.0
32,424809.0,4,3.0
30,424809.0,5,3.0
28,424809.0,5,3.0
52,390015.0,3,3.0
54,390015.0,3,3.0
55,1560583.0,4,3.0
70,1925731.0,2,3.0
60,1925731.0,2,3.0
59,598386.0,5,3.0
83,325579.0,1,3.0
67,325579.0,0,3.0
45,402454.0,6,3.0
35,402454.0,4,3.0
53,500000.0,4,3.0
50,500000.0,6,3.0
54,745802.0,6,3.0
52,745802.0,6,3.0
29,745802.0,6,3.0
24,745802.0,5,3.0
81,745802.0,1,3.0
24,230424.0,6,3.0
27,230424.0,4,3.0
64,607709.0,2,3.0
52,607709.0,4,3.0
37,344095.0,4,3.0
35,344095.0,4,3.0
55,829651.0,4,3.0
33,829651.0,6,3.0
27,829651.0,6,3.0
23,829651.0,5,3.0
93,1830000.0,6,3.0
69,361000.0,6,2.0
18,361000.0,3,2.0
20,361000.0,5,2.0
40,376779.0,1,3.0
51,376779.0,1,3.0
23,376779.0,4,3.0
59,507006.0,1,3.0
62,507006.0,1,3.0
59,273007.0,1,3.0
18,273007.0,5,3.0
59,273007.0,1,3.0
50,397217.0,4,3.0
44,397217.0,4,3.0
21,397217.0,5,3.0
18,397217.0,4,3.0
52,754398.0,1,3.0
60,754398.0,1,3.0
32,754398.0,6,3.0
47,339253.0,4,3.0
49,339253.0,4,3.0
22,339253.0,4,3.0
19,339253.0,5,3.0
72,1141333.0,6,3.0
35,550000.0,6,3.0
37,550000.0,6,3.0
34,891250.0,6,3.0
37,891250.0,6,3.0
82,698459.0,6,3.0
85,698459.0,0,3.0
36,926250.0,6,3.0
62,926250.0,6,3.0
60,926250.0,6,3.0
24,926250.0,6,3.0
42,719667.0,6,3.0
40,719667.0,6,3.0
34,716667.0,6,3.0
67,716667.0,6,3.0
67,716667.0,6,3.0
25,250000.0,5,2.0
23,250000.0,6,2.0
24,552084.0,6,3.0
34,552084.0,6,3.0
33,700000.0,6,3.0
27,700000.0,6,3.0
45,2100000.0,6,3.0
33,2067083.0,6,3.0
52,211750.0,2,2.0
50,211750.0,2,2.0
83,597778.0,3,3.0
50,597778.0,6,3.0
20,597778.0,5,3.0
69,425044.0,1,3.0
64,425044.0,3,3.0
63,158189.0,1,1.0
62,158189.0,1,1.0
21,158189.0,5,1.0
61,251226.0,2,3.0
61,251226.0,3,3.0
26,251226.0,5,3.0
21,251226.0,4,3.0
34,476458.0,6,3.0
30,476458.0,6,3.0
64,373693.0,4,3.0
64,373693.0,2,3.0
41,269798.0,4,3.0
43,269798.0,4,3.0
80,364778.0,1,2.0
94,374463.0,0,3.0
89,374463.0,0,3.0
89,376320.0,1,3.0
86,376320.0,1,3.0
83,538000.0,1,3.0
